season,matchnumber,venue,dateandtime,winningteam,firstteam,secondteam,link
2010,MATCH 26,"Arun Jaitley Stadium, Delhi","MAR, MON 29 , 8:00 pm IST",DELHI DAREDEVILS WON BY 40 RUNS,"DD
177/4
(20 OV)","KKR
137/9
(20 OV )",https://www.iplt20.com/match/2010/10143
2010,MATCH 25,"DY Patil Stadium, NAVI MUMBAI","MAR, SUN 28 , 8:00 pm IST",MUMBAI INDIANS WON BY 41 RUNS,"DEC
131
(17.4 OV)","MI
172/7
(20 OV )",https://www.iplt20.com/match/2010/10142
2010,MATCH 24,"Narendra Modi Stadium, Ahmedabad","MAR, SUN 28 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 17 RUNS,"RR
177/8
(20 OV)","CSK
160/6
(20 OV )",https://www.iplt20.com/match/2010/10141
2010,MATCH 23,"IS Bindra Stadium, Mohali","MAR, SAT 27 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 39 RUNS,"PBKS
144/6
(20 OV)","KKR
183/5
(20 OV )",https://www.iplt20.com/match/2010/10140
2010,MATCH 22,"Narendra Modi Stadium, Ahmedabad","MAR, FRI 26 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 8 WICKETS,"RR
151/2
(15.4 OV)","DEC
148/9
(20 OV )",https://www.iplt20.com/match/2010/10139
2010,MATCH 21,"Brabourne Stadium, Mumbai","MAR, THU 25 , 8:00 pm IST",MUMBAI INDIANS WON BY 5 WICKETS,"MI
181/5
(19 OV)","CSK
180/2
(20 OV )",https://www.iplt20.com/match/2010/10138
2010,MATCH 20,"M. Chinnaswamy Stadium, Bengaluru","MAR, THU 25 , 4:00 pm IST",DELHI DAREDEVILS WON BY 17 RUNS,"RCB
166/9
(20 OV)","DD
183/4
(20 OV )",https://www.iplt20.com/match/2010/10137
2010,MATCH 19,"IS Bindra Stadium, Mohali","MAR, WED 24 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 31 RUNS,"PBKS
152
(19.1 OV)","RR
183/5
(20 OV )",https://www.iplt20.com/match/2010/10136
2010,MATCH 18,"M. Chinnaswamy Stadium, Bengaluru","MAR, TUE 23 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 36 RUNS,"RCB
171/5
(20 OV)","CSK
135/7
(20 OV )",https://www.iplt20.com/match/2010/10135
2010,MATCH 17,"Brabourne Stadium, Mumbai","MAR, MON 22 , 8:00 pm IST",MUMBAI INDIANS WON BY 7 WICKETS,"MI
156/3
(18.3 OV)","KKR
155/3
(20 OV )",https://www.iplt20.com/match/2010/10134
2010,MATCH 16,"M. A. Chidambaram Stadium, Chennai","MAR, SUN 21 , 8:00 pm IST",KINGS XI PUNJAB WON THE 1-OVER ELIMINATOR,"CSK
136/7
(20 OV)","PBKS
136/8
(20 OV )",https://www.iplt20.com/match/2010/10133
2010,MATCH 15,"Barabati Stadium, Cuttack","MAR, SUN 21 , 4:00 pm IST",DECCAN CHARGERS WON BY 10 RUNS,9/2,SUPER OVER - 1,https://www.iplt20.com/match/2010/10132
2010,MATCH 14,"Brabourne Stadium, Mumbai","MAR, SAT 20 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,"DEC
171/6
(20 OV)","DD
161/9
(20 OV )",https://www.iplt20.com/match/2010/10131
2010,MATCH 13,"Narendra Modi Stadium, Ahmedabad","MAR, SAT 20 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 34 RUNS,"MI
151/9
(20 OV)","RCB
155/3
(19.1 OV )",https://www.iplt20.com/match/2010/10130
2010,MATCH 12,"Barabati Stadium, Cuttack","MAR, FRI 19 , 8:00 pm IST",DECCAN CHARGERS WON BY 6 RUNS,"RR
168/7
(20 OV)","KKR
134/5
(20 OV )",https://www.iplt20.com/match/2010/10129
2010,MATCH 11,"Arun Jaitley Stadium, Delhi","MAR, FRI 19 , 4:00 pm IST",CHENNAI SUPER KINGS WON BY 5 WICKETS,"DEC
170/7
(20 OV)","PBKS
164/8
(20 OV )",https://www.iplt20.com/match/2010/10128
2010,MATCH 10,"M. Chinnaswamy Stadium, Bengaluru","MAR, THU 18 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 10 WICKETS,"DD
185/6
(20 OV)","CSK
190/5
(19.1 OV )",https://www.iplt20.com/match/2010/10127
2010,MATCH 9,"Arun Jaitley Stadium, Delhi","MAR, WED 17 , 8:00 pm IST",MUMBAI INDIANS WON BY 98 RUNS,"RCB
93/0
(10.4 OV)","RR
92
(19.5 OV )",https://www.iplt20.com/match/2010/10126
2010,MATCH 8,"Eden Gardens, Kolkata","MAR, TUE 16 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 55 RUNS,"DD
120/9
(16.3 OV)","MI
218/7
(20 OV )",https://www.iplt20.com/match/2010/10125
2010,MATCH 7,"M. Chinnaswamy Stadium, Bengaluru","MAR, TUE 16 , 4:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 8 WICKETS,"KKR
109
(19.2 OV)","CSK
164/3
(20 OV )",https://www.iplt20.com/match/2010/10124
2010,MATCH 6,"Narendra Modi Stadium, Ahmedabad","MAR, MON 15 , 8:00 pm IST",DELHI DAREDEVILS WON BY 6 WICKETS,"RCB
204/2
(18.5 OV)","PBKS
203/3
(20 OV )",https://www.iplt20.com/match/2010/10123
2010,MATCH 5,"M. A. Chidambaram Stadium, Chennai","MAR, SUN 14 , 8:00 pm IST",DECCAN CHARGERS WON BY 31 RUNS,"RR
141/6
(20 OV)","DD
142/4
(17.1 OV )",https://www.iplt20.com/match/2010/10122
2010,MATCH 4,"Eden Gardens, Kolkata","MAR, SUN 14 , 4:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,"CSK
159/9
(20 OV)","DEC
190/4
(20 OV )",https://www.iplt20.com/match/2010/10121
2010,MATCH 3,"IS Bindra Stadium, Mohali","MAR, SAT 13 , 8:00 pm IST",DELHI DAREDEVILS WON BY 5 WICKETS,"KKR
136/3
(19.2 OV)","RCB
135/7
(20 OV )",https://www.iplt20.com/match/2010/10120
2010,MATCH 2,"Brabourne Stadium, Mumbai","MAR, SAT 13 , 4:00 pm IST",MUMBAI INDIANS WON BY 4 RUNS,"PBKS
142/9
(20 OV)","DD
146/5
(19.5 OV )",https://www.iplt20.com/match/2010/10119
2010,MATCH 1,"DY Patil Stadium, NAVI MUMBAI","MAR, FRI 12 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 11 RUNS,"MI
212/6
(20 OV)","RR
208/7
(20 OV )",https://www.iplt20.com/match/2010/10118
2011,MATCH 74,"M. A. Chidambaram Stadium, Chennai","MAY, SAT 28 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 58 RUNS,"CSK
205/5
(20 OV)","RCB
147/8
(20 OV )",https://www.iplt20.com/match/2011/10251
2011,MATCH 73,"M. A. Chidambaram Stadium, Chennai","MAY, FRI 27 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 43 RUNS,"RCB
185/4
(20 OV)","MI
142/8
(20 OV )",https://www.iplt20.com/match/2011/10250
2011,MATCH 72,"Wankhede Stadium, Mumbai","MAY, WED 25 , 8:00 pm IST",MUMBAI INDIANS WON BY 4 WICKETS,"KKR
147/7
(20 OV)","MI
148/6
(19.2 OV )",https://www.iplt20.com/match/2011/10249
2011,MATCH 71,"Wankhede Stadium, Mumbai","MAY, TUE 24 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 6 WICKETS,"RCB
175/4
(20 OV)","CSK
177/4
(19.4 OV )",https://www.iplt20.com/match/2011/10248
2011,MATCH 70,"Eden Gardens, Kolkata","MAY, SUN 22 , 8:00 pm IST",MUMBAI INDIANS WON BY 5 WICKETS,"KKR
175/7
(20 OV)","MI
178/5
(20 OV )",https://www.iplt20.com/match/2011/10247
2011,MATCH 69,"M. Chinnaswamy Stadium, Bengaluru","MAY, SUN 22 , 4:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 8 WICKETS,"RCB
129/2
(18 OV)","CSK
128/8
(20 OV )",https://www.iplt20.com/match/2011/10246
2011,MATCH 68,"Arun Jaitley Stadium, Delhi","MAY, SAT 21 , 8:00 pm IST",NO RESULT,"DD
56/3
(10.1 OV)",PWI,https://www.iplt20.com/match/2011/10245
2011,MATCH 67,"HPCA Stadium, Dharamsala","MAY, SAT 21 , 4:00 pm IST",DECCAN CHARGERS WON BY 82 RUNS,"PBKS
116
(19 OV)","DEC
198/2
(20 OV )",https://www.iplt20.com/match/2011/10244
2011,MATCH 66,"Wankhede Stadium, Mumbai","MAY, FRI 20 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 10 WICKETS,"MI
133/5
(20 OV)","RR
134/0
(13.1 OV )",https://www.iplt20.com/match/2011/10243
2011,MATCH 65,"DY Patil Stadium, NAVI MUMBAI","MAY, THU 19 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,"PWI
118/7
(20 OV)","KKR
119/3
(16.4 OV )",https://www.iplt20.com/match/2011/10242
2011,MATCH 64,"M. A. Chidambaram Stadium, Chennai","MAY, WED 18 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 11 RUNS,"CSK
152/5
(20 OV)","KT
141/5
(20 OV )",https://www.iplt20.com/match/2011/10241
2011,MATCH 63,"HPCA Stadium, Dharamsala","MAY, TUE 17 , 8:00 pm IST",PUNJAB KINGS WON BY 111 RUNS,"PBKS
232/2
(20 OV)","RCB
121
(17 OV )",https://www.iplt20.com/match/2011/10240
2011,MATCH 62,"DY Patil Stadium, NAVI MUMBAI","MAY, MON 16 , 8:00 pm IST",DECCAN CHARGERS WON BY 6 WICKETS,"PWI
136/9
(20 OV)","DEC
138/4
(19.2 OV )",https://www.iplt20.com/match/2011/10239
2011,MATCH 61,"Holkar Cricket Stadium, Indore","MAY, SUN 15 , 8:00 pm IST",KOCHI TUSKERS KERALA WON BY 8 WICKETS,"KT
98/2
(7.2 OV)","RR
97
(18.3 OV )",https://www.iplt20.com/match/2011/10238
2011,MATCH 60,"HPCA Stadium, Dharamsala","MAY, SUN 15 , 4:00 pm IST",PUNJAB KINGS WON BY 29 RUNS,"PBKS
170/6
(20 OV)","DD
141/8
(20 OV )",https://www.iplt20.com/match/2011/10237
